id,original_text,segmented_text,equation,ans
1,"Bryan took a look at his books as well . If Bryan has 56 books in each of his 9 bookshelves , how many books does he have in total ?","Bryan took a look at his books as well . If Bryan has 56 books in each of his 9 bookshelves , how many books does he have in total ?",x=56*9,504
10001,Bryan also looked over his books . How many books does Bryan have if he has 56 books on each of his 9 bookshelves ?,Bryan also looked over his books . How many books does Bryan have if he has 56 books on each of his 9 bookshelves ?,x=56*9,504
20001,Bryan also looked through his books . How many books does Bryan have in total if he has 56 on each of his 9 bookcases ?,,x=56*9,504
30001,Bryan also looked through his novels . How many novels does Bryan have in total if he has 56 on each of his 9 bookcases ?,,x=56*9,504
40001,"Bryan took a look at his comics as well . If Bryan has 56 comics in each of his 9 bookshelves , how many comics does he have in total ?",,x=56*9,504
50001,"Bryan took a look at his books as well . If Bryan has 56 books in each of his 9 bookshelves , how many books does he have in total ?",,x=56*9,504
60001,Bryan also glanced through his books . How many books does Bryan have in total if each of his 9 bookcases holds 56 volumes ?,,x=56*9,504
70001,"Bryan took a look at his books as well . If Bryan has 56 fiction books and 30 non-fiction books in each of his 9 bookshelves , how many books does he have in total ?",,x=((56.0+30.0)*9.0),774
80001,"If Bryan has 9 bookshelves, each with 56 books, how many books does he have in total?",,x=56*9,504
90001,How many books does Bryan have in total if he has 9 bookshelves with 56 books in each one?,,x=56*9,504
100001,"If Bryan has 56 books in each of his 9 bookshelves, how many books does he have in total?",,x=56*9,504
110001,How many books does Bryan have in total if each of his 9 bookshelves contains 56 books?,,x=56*9,504
120001,"If Bryan has 9 bookshelves filled with 56 books each, how many books does he have in total?",,x=56*9,504
130001,"How many books does Bryan have in total if he has 9 bookshelves, each one containing 56 books?",,x=56*9,504
140001,"If Bryan has 9 bookshelves and each shelf has 56 books, how many books does he have in total?",,x=56*9,504
150001,"How many books does Bryan have in total if he has 9 bookshelves, and each shelf has 56 books in it?",,x=56*9,504
160001,"If Bryan has 9 bookshelves, each containing 56 books, how many books does he have in total?",,x=56*9,504
170001,How many books does Bryan have in total if each of his 9 bookshelves has 56 books on it?,,x=56*9,504
180001,"If Bryan has 9 bookshelves, each containing 56 books, how many books does he have in total?",,x=56*9,504
190001,"How many bookshelves does Bryan have if he has a total of 504 books, and each shelf has 56 books on it?",,x=504/9,56
2,"For the fifth grade play , the chairs have been put into 27 rows with 16 chairs in each row . How many chairs have been put out for the play ?","For the fifth grade play , the chairs have been put into 27 rows with 16 chairs in each row . How many chairs have been put out for the play ?",X=(27.0*16.0),432
10002,"For the fifth grade play, the chairs have been set up in 27 rows, each with 16 chairs. How many chairs have been prepared for the play?",,X=(27.0*16.0),432
20002,How many chairs have been arranged for the fifth grade play if there are 27 rows with 16 chairs in each row?,,X=(27.0*16.0),432
30002,"For the play, the chairs have been arranged in 27 rows with 16 chairs in each row. How many chairs have been set up in total?",,X=(27.0*16.0),432
40002,"If there are 27 rows of chairs for the fifth grade play, each with 16 chairs, how many chairs have been put out in total?",,X=(27.0*16.0),432
50002,How many rows of chairs are there for the fifth grade play if there are a total of 432 chairs and each row has 16 chairs?,,X=(432.0/16.0),27
60002,"For the fifth grade play, the benches have been set up in 27 rows, each with 16 benches. How many benches have been prepared for the play?",,X=(27.0*16.0),432
70002,How many stools have been arranged for the fifth grade play if there are 27 rows with 16 stools in each row?,,X=(27.0*16.0),432
80002,"For the play, the sofas have been arranged in 27 rows with 16 sofas in each row. How many sofas have been set up in total?",,X=(27.0*16.0),432
90002,"If there are 27 rows of cushions for the fifth grade play, each with 16 cushions, how many cushions have been put out in total?",,X=(27.0*16.0),432
100002,How many rows of armchairs are there for the fifth grade play if there are a total of 432 armchairs and each row has 16 armchairs?,,X=(432.0/16.0),27
110002,"For the fifth grade play, the benches have been set up in 27 rows, each with 16 benches. How many benches have been prepared for the play?",,X=(27.0*16.0),432
